year,StoneWay_net_added,StoneWay_cumulative,45th_net_added,45th_cumulative
2004,0.0,0.0,43.0,43.0
2005,0.0,0.0,0.0,43.0
2006,0.0,0.0,45.0,88.0
2007,40.0,40.0,0.0,88.0
2008,0.0,40.0,2.0,90.0
2009,0.0,40.0,0.0,90.0
2010,0.0,40.0,0.0,90.0
2011,248.0,288.0,0.0,90.0
2012,27.0,315.0,1.0,91.0
2013,-1.0,314.0,0.0,91.0
2014,398.0,712.0,152.0,243.0
2015,124.0,836.0,3.0,246.0
2016,0.0,836.0,40.0,286.0
2017,59.0,895.0,0.0,286.0
2018,56.0,951.0,0.0,286.0
2019,0.0,951.0,2.0,288.0
2020,160.0,1111.0,0.0,288.0
2021,0.0,1111.0,12.0,300.0
2022,243.0,1354.0,0.0,300.0
2023,205.0,1559.0,0.0,300.0
2024,0.0,1559.0,0.0,300.0
2025,231.0,1790.0,0.0,300.0
